Epoch Time,Value
1704042000000,1
1704042026000,1
1704042035000,1
1704042037000,1
1704042059000,1
1704042060000,1
1704042070000,1
1704042086000,0
1704042097000,0
1704042098000,0
1704042119000,0
1704042120000,0
1704042134000,0
1704042146000,0
1704042156000,0
1704042157000,0
1704042179000,0
1704042180000,0
1704042199000,0
1704042207000,0
1704042213000,0
1704042217000,0
1704042239000,Null
1704042240000,Null
1704042264000,Null
1704042267000,
1704042274000,0
1704042277000,0
1704042299000,0
1704042300000,0
1704042327000,0
1704042336000,
1704042337000,
1704042359000,0
1704042360000,0
1704042370000,0
1704042388000,0
1704042394000,0
1704042397000,0
1704042419000,0
1704042420000,0
1704042435000,0
1704042448000,0
1704042455000,0
1704042457000,0
1704042479000,0
1704042480000,0
1704042500000,0
1704042509000,0
1704042513000,0
1704042517000,0
1704042539000,0
1704042540000,0
1704042564000,0
1704042569000,0
1704042575000,0
1704042577000,0
1704042599000,0
1704042600000,0
1704042629000,0
1704042635000,0
1704042637000,0
1704042640000,0
1704042659000,0
1704042660000,0
1704042690000,0
1704042696000,0
1704042697000,0
1704042705000,0
1704042719000,0
1704042720000,0
1704042750000,0
1704042755000,0
1704042757000,0
1704042770000,0
1704042779000,0
1704042780000,0
1704042810000,0
1704042813000,0
1704042817000,0
1704042834000,0
1704042839000,0
1704042840000,0
1704042871000,0
1704042874000,0
1704042877000,0
1704042899000,0
1704042900000,0
1704042931000,0
1704042935000,0
1704042937000,0
1704042959000,0
1704042960000,0
1704042973000,0
1704042992000,0
1704042997000,0
1704043019000,0
1704043020000,0
1704043039000,0
1704043052000,0
1704043053000,0
1704043057000,0
1704043079000,0
1704043080000,0
1704043104000,0
1704043112000,0
1704043117000,0
1704043139000,0
1704043140000,0
1704043169000,0
1704043173000,0
1704043174000,0
1704043177000,0
1704043199000,0
1704043200000,0
1704043233000,0
1704043237000,0
1704043238000,0
1704043259000,0
1704043260000,0
1704043293000,0
1704043295000,0
1704043297000,0
1704043303000,0
1704043319000,0
1704043320000,0
1704043353000,0
1704043354000,0
1704043357000,0
1704043367000,0
1704043379000,0
1704043380000,0
1704043414000,0
1704043415000,0
1704043417000,0
1704043431000,0
1704043439000,0
1704043440000,0
1704043474000,0
1704043477000,0
1704043495000,0
1704043499000,0
1704043500000,0
1704043535000,0
1704043536000,0
1704043537000,0
1704043559000,0
1704043560000,0
1704043593000,0
1704043595000,0
1704043597000,0
1704043619000,0
1704043620000,0
1704043625000,0
1704043655000,0
1704043656000,0
1704043657000,0
1704043679000,0
1704043680000,0
1704043690000,0
1704043716000,0
1704043717000,0
1704043739000,0
1704043740000,0
1704043754000,0
1704043776000,0
1704043777000,0
1704043799000,0
1704043800000,0
1704043819000,0
1704043835000,0
1704043837000,0
1704043859000,0
1704043860000,0
1704043884000,0
1704043896000,0
1704043897000,0
1704043919000,0
1704043920000,0
1704043949000,0
1704043954000,0
1704043957000,0
1704043958000,0
1704043979000,0
1704043980000,0
1704044013000,0
1704044014000,0
1704044017000,0
1704044018000,0
1704044039000,0
1704044040000,0
1704044075000,0
1704044077000,0
1704044078000,0
1704044099000,0
1704044100000,0
1704044135000,0
1704044137000,0
1704044139000,0
1704044142000,0
1704044159000,1
1704044160000,1
1704044194000,1
1704044197000,1
1704044199000,1
1704044207000,1
1704044219000,1
1704044220000,1
1704044255000,1
1704044257000,1
1704044259000,1
1704044272000,1
1704044279000,1
1704044280000,1
1704044314000,1
1704044317000,1
1704044320000,1
1704044338000,1
1704044339000,1
1704044340000,1
1704044375000,1
1704044377000,1
1704044380000,1
1704044399000,1
1704044400000,1
1704044403000,1
1704044434000,1
1704044437000,1
1704044440000,1
1704044459000,1
1704044460000,1
1704044468000,1
1704044493000,1
1704044497000,1
1704044501000,1
1704044519000,1
1704044520000,1
1704044533000,1
1704044553000,1
1704044557000,1
1704044561000,1
1704044579000,1
1704044580000,1
1704044597000,1
1704044614000,1
1704044617000,1
1704044622000,1
1704044639000,1
1704044640000,1
1704044661000,1
1704044675000,1
1704044677000,1
1704044682000,1
1704044699000,1
1704044700000,1
1704044725000,1
1704044736000,1
1704044737000,1
1704044742000,1
1704044759000,1
1704044760000,1
1704044790000,1
1704044794000,1
1704044797000,1
1704044803000,1
1704044819000,1
1704044820000,1
1704044854000,1
1704044857000,1
1704044863000,1
1704044879000,1
1704044880000,1
1704044915000,1
1704044917000,1
1704044918000,1
1704044924000,1
1704044939000,1
1704044940000,1
1704044977000,1
1704044984000,1
1704044999000,1
1704045000000,1
1704045033000,1
1704045037000,1
1704045044000,1
1704045048000,1
1704045059000,1
1704045060000,1
1704045094000,1
1704045097000,1
1704045105000,1
1704045112000,1
1704045119000,1
1704045120000,1
1704045155000,1
1704045157000,1
1704045165000,1
1704045176000,1
1704045179000,1
1704045180000,1
1704045217000,1
1704045226000,1
1704045239000,1
1704045240000,1
1704045276000,1
1704045277000,1
